,patron,posicion,longitud,intencion,df_cat,n_cat,cobertura_cat,df_resto,cobertura_resto,especificidad,log_odds
0,pante',inicial,6,SAL,10,71,0.1408,0,0.0,1.0,4.974
1,pante,inicial,5,SAL,10,71,0.1408,0,0.0,1.0,4.974
2,pant,inicial,4,SAL,10,71,0.1408,0,0.0,1.0,4.974
3,muekt,inicial,5,SAL,7,71,0.0986,0,0.0,1.0,4.59
4,muek,inicial,4,SAL,7,71,0.0986,0,0.0,1.0,4.59
5,muektu,inicial,6,SAL,7,71,0.0986,0,0.0,1.0,4.59
6,inlli,inicial,4,SAL,5,71,0.0704,0,0.0,1.0,4.249
7,inll,inicial,3,SAL,5,71,0.0704,0,0.0,1.0,4.249
8,inlli't,inicial,6,SAL,5,71,0.0704,0,0.0,1.0,4.249
9,inlli',inicial,5,SAL,5,71,0.0704,0,0.0,1.0,4.249
10,aw,inicial,2,SAL,4,71,0.0563,0,0.0,1.0,4.034
11,inluuk,inicial,6,SAL,4,71,0.0563,0,0.0,1.0,4.034
12,mudek,inicial,5,SAL,4,71,0.0563,0,0.0,1.0,4.034
13,mude,inicial,4,SAL,4,71,0.0563,0,0.0,1.0,4.034
14,awa,inicial,3,SAL,4,71,0.0563,0,0.0,1.0,4.034
15,enpu,inicial,4,EMO,24,70,0.3429,0,0.0,1.0,6.103
16,enpu',inicial,5,EMO,22,70,0.3143,0,0.0,1.0,5.976
17,enpu'n,inicial,6,EMO,19,70,0.2714,0,0.0,1.0,5.773
18,enp,inicial,3,EMO,24,70,0.3429,1,0.0024,0.96,5.002
19,a'sak,inicial,5,EMO,8,70,0.1143,0,0.0,1.0,4.749
20,a'sa,inicial,4,EMO,8,70,0.1143,0,0.0,1.0,4.749
21,a'sake,inicial,6,EMO,8,70,0.1143,0,0.0,1.0,4.749
22,a's,inicial,3,EMO,8,70,0.1143,0,0.0,1.0,4.749
23,em,inicial,2,EMO,7,70,0.1,0,0.0,1.0,4.608
24,emp,inicial,3,EMO,6,70,0.0857,0,0.0,1.0,4.449
25,empu,inicial,4,EMO,6,70,0.0857,0,0.0,1.0,4.449
26,empu'n,inicial,6,EMO,6,70,0.0857,0,0.0,1.0,4.449
27,empu',inicial,5,EMO,6,70,0.0857,0,0.0,1.0,4.449
28,muship,inicial,5,EMO,5,70,0.0714,0,0.0,1.0,4.267
29,mushi,inicial,4,EMO,5,70,0.0714,0,0.0,1.0,4.267
30,ñapala,inicial,6,PRG,6,71,0.0845,0,0.0,1.0,4.431
31,a'ch,inicial,3,PRG,5,71,0.0704,0,0.0,1.0,4.249
32,a'cha,inicial,4,PRG,5,71,0.0704,0,0.0,1.0,4.249
