shiwilu_norm,fold
tekinchi,3
nanapi'la,1
musu',4
mupalli,4
ipa',2
insekdiperpi,2
musu'sekdiperpi,1
enka'ker,0
nañia'su',1
ipa'tullina',2
lachek'lek,4
luwantulli,3
nu'su'nuka'a,0
u'su'p'la,0
tekinchimalek,2
nananuka'a,3
nanapila,1
iñer'mupalli,0
musu'itula,4
musu'nu'pi,3
tekinchintana,2
u'la'su',0
ipa'lachek'lek,0
ipa'ñinchítulek,2
tantenamukatu'pa'palek,4
sek'kaper'echen,2
tekinchiajá,4
ajáipa',3
ajámupalli,3
ajánañitulli,2
ajámusalmin,2
ajánu'su'nuka'a,1
ajálachek'lek,0
ajáinsek'diperpi,3
ajátekinchi,3
ajámulli,1
ajátumu'pi'nek,4
ajáenka'ker',1
ajátumu'tapi'ñenma',4
ajáluwantechek,1
ajáipa'lachek'lek,4
ajáu'la'su',3
ajáiñer'musu',0
ajásakeklek,3
ajaipa'ñinchitulek,2
ajámushallin,4
ajámusu'tulli,2
ajámusu'nu'pi,1
ajánanapi'la,0
ajánananuka'a,4
ajáípa'ñapalli,0
nukaatekinchi,0
nañisu'nuka'a,0
nu'su'nu'tecek,1
nu'su'ñiwiñi,3
nu'la'su',0
ipa'ñinchitulek,2
ipa'nu'tulek,4
ipa'a'ta'wantulek,3
ipa'akusutulek,0
ipa'pek'sanek,3
ipa'inyalek,2
ipa'ukluka'lli,0
ker'ñapalli,0
uklupidekñapalli,3
diukñapalli,3
dekñapalli,0
uktañapalli,0
wueranñapalli,1
penñapalli,1
menminñapalli,2
chiter'ñapalli,1
iñer'insek'diperpi,2
llia'ternu'su',4
tuleknu'tulek,1
ma'pu'su'tula,2
nañillinu'su',4
muetchun,3
ñinchitapalekteka'ak',0
ñinchitapaleklun'ak,3
ñinchitapalekidun'ak,1
insek'diperpiñapalli,4
mullincha',4
ukeñan,0
katu'pa',2
katu'pa'katu'pa',1
kana'tulek,2
shaw,2
asha,0
paku'llipu'tudek'kunku',0
a'ñapalek,4
nanatekaklli,4
anu'lek,1
yunsu'lek,1
wer'lliek,3
tomindek'lli,0
tomchiminchu,3
tompanwilek'techu,3
enmu'pinennuka'kudek,3
yennitulekwa'kana'tak,0
sakeklekwa',3
yamerlek'wa',0
iya'tulek'wa',1
nu'tulek'wa',0
pa'a'kawa'su'ñapalli,3
tantenlek'wa',2
teka'per'aterwa',1
a'ñapallidekdudimpu'nu'ta'kawa'su',0
a'ta'wantullidek,3
asekñapallidek,4
wer'su'ñapallidek,1
kulliker'wi'ñidek,3
perlli'llidek,3
saputeknuka'kudek,0
kuakatu'pekchen,1
a'ta'wanterasu',4
a'ta'wantuku'asu',1
nanataserpitulli,2
wek'lli,2
vinu'a'ñapalli,0
musu'nuka'a,0
iyatulli,3
intekapalli,3
intekweranpalli,0
kalu'tutek'nuka'ka,3
a'perchapalek,3
si'lentapalek,3
mapa'lek,4
yennituleknu'tak,2
yennituleka'nañiak,4
lunnek,2
ka'apalektanta',4
ka'apalekwayupi,4
sanek'wantuwinek,1
kaper'llien,0
yulek,1
kera'pilellekla'la'lusa',1
manennu'tapi'nek,2
vinu'a'ñapalek,2
lauk'llien,2
luwer'chapadeklek,0
aseknanpipalek,2
tantenwinek,1
lu'wanwinek,3
insek'kita'kasu'ñapalli,1
luwantudek'lek,1
ñinchitapalekma'tapallinpa',1
uku'latapalekwa'nateka'asu',4
lanerapalekgas,0
a'pinta'luwantulek,1
asu'luwantulek,0
ñapawineknanpiladasu',3
ñapawineklupersu',0
usu'lliner'ku,3
inanpilatekñapawinek,2
saka'tusu'ñapawinek,0
pektunsu'ñapawinek,1
finlandisnuka'ka,1
turkunuka'ka,2
turkanuka'ka,0
tanta'nu'tuteknuka'ka,0
ku'apernuka'ka,3
ñinchidinupalek,2
lansa'palek,0
ñapalekala'sa'enmu'pinenlek,0
ñapaleksakek'su',1
weranpi'nek,4
ñapalekmudinusu',0
pa'echek,0
wa'danpilapilun,1
wa'danpilapilundek,3
tumu'tulundek,3
yennitulada'a'mak,4
yennitulawinta'mudek,4
lli'tulawe'inutusu',2
neria'masu'ñapalli,2
llia'a'mamasu'ñapalli,0
kenmawichi'wina',1
iñer'chiyekllina',0
luyu'lliteka'ak,1
inllipu'itk'later',0
lutantenñen,0
a'pinchi,3
a'sakek'llu,2
enpu'niwueinuipa',3
enka'lliuwue'inu,1
ma'pu'su'ikerlli,4
enpu'nipa'a'sakeklliu,1
a'wue'inutulliu,3
enpu'wue'inuipa',0
enpu'nipa'tekualek,4
tantenñen,3
enpu'nidakuti'pa',2
enpu'nipa'lu'wanek,4
enpunipa'ikerlli,2
a'sakek'kankañu,2
kananwan,4
sakek'lek,1
wawiin,2
atekualliun,3
wa'danpitek,0
enpu'nipaikerchulek,0
enpu'niaperpipa',0
a'sakek'lliu,2
enpuniukawanñinpa',1
a'manantulliu,1
enpu'nisakek'ipa',1
musu'a'kakanchinu,3
nakusu'sanekwañi,2
musu'a'kankanch'ñu,4
musu'ñapalek,0
a'imanantulliu,0
enpu'niyuipa',3
a'dakuta'lliu,3
enpu'nimushipa'menmin,3
lu'wanekpapinku,3
enpu'niwue'inu,1
musu'a'kankanchi'ñu,4
iyalli,2
enpu'nipa'ikerchulekdinlupiuk,4
enpu'nimushipa',2
perwa'tentulek,1
enpu'dunlu'ipa'sakekleklli'amun,1
enpu'nidakuta'ipa,0
a'lenmek'lliu,0
a'sakeklliuuklupidek,0
perlek,2
musu'kankanchi'nek,2
yalli'lekyata'ituli'nek,0
nakusu'ikermutu'lek,3
enpu'niiyallinpa',3
a'perlliu,3
musu'ñapi'nek,4
a'sakek'lliuñinanlu',4
nudu'tulek,4
enpu'nipa'a'sakeklliuchiter',1
uki'lalek,1
a'nantapilliu,0
tekuala'nawañi,0
a'sakeklliusek'ker'cha'kasu',0
dakuta'tek,1
a'yulliu,3
lu'wanekmenminuk,4
wue'inua'lliupi,4
tuyutulliu,1
ker'a'sakeklliu,3
mukankan'i'ñi,0
ikerchulekwa'dan'uk,2
lu'wan'nekawauk,0
lutanteñekamisha,3
a'wue'inutulliuchiminllin,2
enpu'mushipa',3
a'sakeklliuuklliapila'su',0
enpu'nipa'a'sakek'lliushiwilu,2
luwer'chude'i'nek,0
yuspeinet'echun,2
empu'nimushipa',3
empu'niwa'danpintek'ipa',0
imananempu'nipa',4
nerpi'laempu'nipa',3
embu'nimushipa',2
empu'niñinchidinusu'ta',0
empu'nilli'inek,1
iyatudeklek,3
enpu'nisaka'dek'ipa',2
enpu'nimupenchipa',0
dakuti'ñi,3
enpu'nidakuta'ipa',1
enpu'nimui'pa,2
mukankaninpu',3
empu'nidakuta,1
empu'niluyaipa',3
ñidenna'pichi'ñi,3
saka'dek,0
luwanchi'nek,4
ka'api'nek,0
ñinchichi'nek,0
ku'lañinchitapi'nek,4
ñidenpek'klu'chi'ñi,2
ñinpi'lunpi'ñidek,4
ku'laek'kuanpinek,4
ku'latupiapi'nek,0
ku'lalachek'i'nek,2
ninchichi'nek,0
ñidenlamapui'ñi,0
ñidenlauk'tapi'ñi,1
ñienpi',4
ñiden,2
ñima'nen,2
ñienpi'sha,1
dek'lek'inpu',3
ker'lek'inpu',1
penlek'inpu',1
diuk'lek'inpu',4
uklupidek'lek'inpu',3
chiter'lek'inpu',1
de'kunlek'inpu',1
samerlek'inpu',3
wueranlek'inpu',3
papinkulusa'lek'inpu',1
pawantulekdek,2
pa'tulliu,3
pawantuliuker',0
ñidenektu'p'ñi,2
ñidenñinchichi'ñi,2
ñidenuk'api'ñi,0
ñidenpur'api'ñi,2
ñidentra'tapi'ñi,1
ñidenlunpi'ñi,2
ñidenpeksantapi'ñi,4
ñideninyatapi'ñi,3
ñidena'lektapi'ñi,3
ñinpi'pur'api'ñidek,0
ñinpi'ektu'pi'ñi,4
ñinpi'tra'pi'ñi,4
ñinpi'uklliapi'ñi,2
ñinpi'shapa'i'chek,2
ñinpi'kalu'chi'ñidek,2
ñinpi'shaa'lekchi'ñi,4
ñinpi'shauklupi'li,3
ñinpi'uapi'ñiuklupidek,4
a'pinta'ñi'ñi,1
ipa'pa'lli,4
ta'wantulli,3
wuer'lli,1
yanakuta,2
ipallia'i'ñiker',4
ipa'tra'tapi'ñi,0
ipa'uk'api'ñi,3
ta'wantullichiter',0
ipa'u'lanpiñi,3
ipa'wuer'lli,1
ta'wantulliuklupidek,4
yen'nichi'nek,2
ñi'ñisamer,0
ñi'ñidiuk,4
ñi'ñidek,1
ñi'ñiker',3
ñi'ñiwueran,4
ñi'ñiuklupidek,1
ektu'pi'nek,2
pa'in'chek,0
akusutapi'nek,2
lunpi'nekshiwilu,2
tra'pi'nek,4
pur'api'nekiipa'la,4
uapi'nek,4
yen'nichinpu'lli,2
uktalek'inpu',4
ladawi'ñi,4
pita'wi'ñi,3
ker'lliawi'ñi,4
menminwi'ñi,0
chiter'pawantulek,4
nantapipawantulek,2
ikermutu'lek,3
mudinui'nek,2
yapa'i'nek,0
ñidenluuk'api'ñi,4
ñidenpektawachi'ñi,4
ñidenmapi'ñi,0
ñidenkerapi'ñidek,1
ñidenakusutapi'ñi,4
ñidensek'ker'chapi'ñi,3
ñinpi'sek'ker'chapi'nek,2
ñinpi'lulentapi'nek,3
ñinpi'adenchinchu,1
ñinpi'ñinchitapi'bek,2
ñinpi'saka'tapi'ñi,1
lachek'la,3
den'ina'teka'lli,1
den'ina'kana'tulli,4
weipensu'ñapalek,2
chimiñi,2
shipena'cha,2
shiluna'cha,1
musenkeka'cha,0
pa'chi'ñin'cha,2
mupallin'cha,1
aseka'cha,0
asek,4
tekinchi'cha,4
nana'cha,3
asu'a'cha,2
mulli'ncha',0
muwiñin,0
mapu'la,0
enñupa'chañapalek,2
denlamapu'lli,2
peklu'tula,4
a'ta'wantulekwa',2
wa'danpindekñapala,4
yusu'ñapala,2
naektu'kellia,0
yennitulektenmiansu'ak,2
yennitulekwa'lun'ak,4
kana'tula,2
indekllitapalabulichi,0
ukllin'cha,1
ekpa'ak,2
nakusu'tanluwatulli,3
kenmakin'cha,0
iñer'a'cha,0
peklu'piñapalek,2
ñimanennalu,3
sanekwantula,2
chimipiñapala,1
luuktek'nukama,0
inapiñapala,4
mer'su'ñapala,4
chacha'wanpala,3
wer'su'ñapala,0
kaluwipala,1
tekinchi'cha'ñapala,1
tekinchi'cha'ñapalama,3
yennitulekinpaleriak,3
ñinchitapalaidun'ak,0
tomwek'lli,2
tomkatu'pa'tulli,4
katu'pa'tula,1
llillinpennu'tula,3
llillinpenma'nu'tulama',2
llitapalekmusu',1
kenmau'wa'tapala,1
u'wa'tapala,4
kenmatukulu'pala,2
ikerlli,0
nusha'tusu'ñapalli,1
nanasa'chaiñer',4
yennituleklata'ak,1
yennitulekwa'lata'ak,3
lauk'lun,0
iya'tula,0
iya'tulama,4
luwantuwinun,2
nu'tula,2
lu'wan'nun,0
chuchuka'a'pala,0
ñapallimuin'su,4
a'ñapalaala'sa',0
luwer'chapala,1
luwer'chapalama,4
luwer'chapalli,1
lli'inutapala,4
kenmalatektapala,4
luwantapala,1
luwer'chapalun,3
