,precision,recall,f1-score,support
SAL,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
EMO,0.5384615384615384,0.5,0.5185185185185185,14.0
PRG,1.0,1.0,1.0,14.0
REQUEST,0.6842105263157895,0.8666666666666667,0.7647058823529411,15.0
AFI,0.5714285714285714,0.6666666666666666,0.6153846153846154,12.0
NEG,0.6428571428571429,0.5625,0.6,16.0
DES,0.6666666666666666,0.5333333333333333,0.5925925925925926,15.0
accuracy,0.696969696969697,0.696969696969697,0.696969696969697,0.696969696969697
macro avg,0.6961221735657827,0.6997710622710622,0.6943474825827767,99.0
weighted avg,0.6964088543035911,0.696969696969697,0.6929631491722995,99.0
