,precision,recall,f1-score,support
SAL,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
EMO,0.7142857142857143,0.625,0.6666666666666666,16.0
PRG,1.0,0.8666666666666667,0.9285714285714286,15.0
REQUEST,0.625,0.6666666666666666,0.6451612903225806,15.0
AFI,0.8181818181818182,0.6923076923076923,0.75,13.0
NEG,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
DES,0.7368421052631579,0.9333333333333333,0.8235294117647058,15.0
accuracy,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693
macro avg,0.7773311692484625,0.7691391941391942,0.7680999085851348,104.0
weighted avg,0.7759393735481793,0.7692307692307693,0.7674726641164024,104.0
