,precision,recall,f1-score,support
SAL,0.8571428571428571,0.46153846153846156,0.6,13.0
EMO,0.5625,0.6428571428571429,0.6,14.0
PRG,1.0,1.0,1.0,14.0
REQUEST,0.6470588235294118,0.7333333333333333,0.6875,15.0
AFI,0.625,0.8333333333333334,0.7142857142857143,12.0
NEG,0.7647058823529411,0.8125,0.7878787878787878,16.0
DES,0.75,0.6,0.6666666666666666,15.0
accuracy,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273
macro avg,0.7437725090036015,0.7262231815803244,0.7223330241187386,99.0
weighted avg,0.7445356930651048,0.7272727272727273,0.724141304823123,99.0
