shiwilu_norm,split
ñidena'lektapi'ñi,train
luwer'chapadeklek,train
yalli'lekyata'ituli'nek,train
enpu'nipaikerchulek,train
a'lek'tutek'nuka'a,train
usu'lliner'ku,train
lunpi'nekshiwilu,train
yennitulekinpaleriak,train
a'sakeklliuuklupidek,train
neri'ina',train
musu'nu'pi,train
vinu'a'ñapalek,train
yatumu'ta,train
si'lentapalek,train
enpu'niiyallinpa',train
musu'a'kankanch'ñu,train
a'sakek'llu,train
ajánu'su'nuka'a,train
chuchuka'a'pala,train
lauk'lun,train
kaper'llien,train
finlandisnuka'ka,train
yapa'i'nek,train
enka'ker,train
ñinpi'shapa'i'chek,train
ipa'pinanerker',train
ñidenektu'p'ñi,train
katu'pa',train
mukankankaikualusa',train
musu'paskua',train
sekdiperker'nana,train
ta'wantulliuklupidek,train
sullimanwanpalli,train
pante'chekkawipa'musu',train
enpi'teke'chu,train
iya'tulek'wa',train
pur'api'nekiipa'la,train
ajaipa'ñinchitulek,train
sakeklekwa',train
ukllinanter'musu',train
yennitulekwa'lata'ak,train
wa'ten'ker',train
neria'masu'ñapalli,train
iñer'insek'diperpi,train
tanta'nu'tuteknuka'ka,train
enpu'nimui'pa,train
enpu'nisaka'dek'ipa',train
ajáiñer'musu',train
a'ta'wantuku'asu',train
luyu'lliteka'ak,train
ipa'pa'lli,train
ipa'a'ta'wantulek,train
mukankanamilusa',train
musu'ñapalli,train
nañisu'nuka'a,train
asek,train
ma'pu'sinkawipa'musu',train
saputeknuka'kudek,train
ikerlli,train
a'ta'wantulekwa',train
yamerku',train
ma'pu'sinawa,train
inllipu'itk'later',train
enpu'niwue'inu,train
intekapalli,train
pa'echekshawa,train
muer'wapapinku,train
lli'tulawe'inutusu',train
akusutapi'nek,train
ma'pu'sinkaiksha,train
yennitulalauk'a'mudek,train
yennitulamakatupa'a'muk,train
a'pinta'ñi'ñi,train
tomwek'lli,train
mupalli,train
kera'pilellekla'la'lusa',train
muwencha'ker',train
tomchiminchu,train
musu'a'kankanchi'ñu,train
uklupidek'lek'inpu',train
ekpa'kerkenmalek,train
yennitulama'dekkunta'mamak,train
uktalek'inpu',train
perwa'tentulek,train
lu'wanekmenminuk,train
samerlek'inpu',train
embu'nimushipa',train
ñidenñinchichi'ñi,train
luwantuleksaka'tak,train
kualeknu'ter',train
luwer'chapalama,train
llillinpennu'tula,train
luwantapala,train
ipa'ñinchítulek,train
wenller'dasu'la,train
adipika'awa',train
luwer'chapala,train
ipa'u'lanpiñi,train
kenmatukulu'pala,train
enpu'nimuipa'lli'apallen,train
ipa'uk'api'ñi,train
tuyutulliu,train
lutantenñen,train
uklliak'walek,train
ku'apernuka'ka,train
ñinpi'sek'ker'chapi'nek,train
manennu'tapi'nek,train
nalukla,train
ku'laek'kuanpinek,train
ipa'pek'sanek,train
lu'wanwinek,train
llia'a'mamasu'ñapalli,train
pante'chekseñula',train
yennitulektenmiansu'ak,train
ajálachek'lek,train
nudu'tulek,train
empu'nilli'inek,train
ma'isikinlli'ter,train
kananwan,train
insek'diperpiñapalli,train
wiu'su'nu'ter',train
atekualliun,train
ajáipa'lachek'lek,train
nakusu'tanluwatulli,train
shipena'cha,train
shiluna'cha,train
inpaleriaper',train
wiperi'u,train
asekñapallidek,train
ma'pu'sinseñula',train
pante'chekinlli'ter,train
lli'ker'asu',train
inlli'terma'isikwalek,train
ñidensek'ker'chapi'ñi,train
yennitulada'a'mak,train
kuakatu'pekchen,train
chiter'pawantulek,train
nananuka'a,train
lli'dek'ku',train
a'yulliu,train
mupker',train
ñinchitapalaidun'ak,train
tai'tuler',train
empu'niñinchidinusu'ta',train
enpu'nimupenchipa',train
muetchun,train
iñer'mupalli,train
ñi'ñiuklupidek,train
empu'nimushipa',train
enpu'nimushipa',train
yennitulaa'lli'a'muk,train
ñidenpeksantapi'ñi,train
papinkulusa'lek'inpu',train
inlli'ter,train
lutanteñekamisha,train
musu'ñapalek,train
enpu'dunlu'ipa'sakekleklli'amun,train
ñideninyatapi'ñi,train
da'encher',train
a'manantulliu,train
vinu'a'ñapalli,train
enpu'nidakuta'ipa',train
yamer,train
yennitulalli'a'mak,train
ñi'ñiker',train
musu'uklli'i,train
penñapalli,train
dekñapalli,train
lachek'lek,train
a'sakek'kankañu,train
nakusu'sanekwañi,train
ñinchitapalekteka'ak',train
enpu'niwueinuipa',train
iya'tulama,train
muektu'kerker'pidik,train
weranpi'nek,train
muektu'kerku'pidik,train
tompanwilek'techu,train
ajáu'la'su',train
li'ker'la,train
wa'danpilapilun,train
ajámushallin,train
enpu'nipa'a'sakeklliu,train
enpu'nisakek'ipa',train
ajánañitulli,train
yalamapu'ta,train
ku'ladai'nchu,train
kalu'tutek'nuka'ka,train
den'ina'teka'lli,train
ñi'ñiwueran,train
insek'kita'kasu'ñapalli,train
yaweyta,train
ñidenkerapi'ñidek,train
eklliinlli'ter,train
enmu'pinennuka'kudek,train
luwer'chude'i'nek,train
ajámusu'tulli,train
enka'unu'unta'lusa',train
wa'tender'nanek,train
enpu'nipa'tekualek,train
yen'nichi'nek,train
ipa'tra'tapi'ñi,train
ma'nen'nu'tula,train
sanekwantula,train
a'ñapalaala'sa',train
pante'cekpapinkulusa',train
yanakuta,train
intekweranpalli,train
yawellekta,train
perlli'llidek,train
ñapallimuin'su,train
ipa'nu'tulek,train
ñapaker'musu'kankantusu',train
ajámupalli,train
ajáipa',train
dunker'aper'i'la,train
yennitulawinta'mudek,train
ipa'inyalek,train
enpu'nidakuti'pa',train
kencher'asek,train
yennitulakatu'pa'ta'mak,train
de'kunlek'inpu',train
mupaina',train
yunsanker',train
nanekwatenker',train
musu'sekdiperpi,train
weker'eklli,train
ñi'ñisamer,train
ajátekinchi,train
u'su'p'la,train
den'ina'kana'tulli,train
nusha'tusu'ñapalli,train
katu'pa'tula,train
nanapila,train
ajámusalmin,train
nanataserpitulli,train
paker'uti'la,train
a'nantapilliu,train
wuer'lli,train
yennitulalauk'a'muk,train
saka'tusu'ñapawinek,train
enpu'nipa'a'sakeklliuchiter',train
ñinpi'adenchinchu,train
ma'pu'sin,train
ñidenlamapui'ñi,train
ma'pu'sinmeksin,train
weipensu'ñapalek,train
neri'i,train
iñer'a'cha,train
musenkeka'cha,train
enpu'niaperpipa',train
lli'u,train
ta'itula'dek'ku'idenmaina',train
a'wue'inutulliuchiminllin,train
muuklli,train
yennitulawichi'a'mak,train
a'ta'wanterasu',train
wintu'ua'pinta,train
ñinpi'tra'pi'ñi,train
sek'kaper'echen,train
lachek'la,train
nukaatekinchi,train
tomindek'lli,train
ajánanapi'la,train
nu'tawa'nana,train
ñima'nen,train
ka'apalektanta',train
inluuk'ter',train
kaluwipala,train
tumu'tulundek,train
ñidenna'pichi'ñi,train
lau'ter,train
luuktek'nukama,train
