,precision,recall,f1-score,support
SAL,0.631578947368421,0.8,0.7058823529411765,15.0
EMO,0.7058823529411765,0.8,0.75,15.0
PRG,1.0,1.0,1.0,15.0
REQUEST,0.6666666666666666,0.5333333333333333,0.5925925925925926,15.0
AFI,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
NEG,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
DES,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.0
accuracy,0.7523809523809524,0.7523809523809524,0.7523809523809524,0.7523809523809524
macro avg,0.7575232522158661,0.7523809523809524,0.7513537982242706,105.0
weighted avg,0.757523252215866,0.7523809523809524,0.7513537982242705,105.0
