,precision,recall,f1-score,support
SAL,0.6666666666666666,0.9333333333333333,0.7777777777777778,15.0
EMO,0.8,0.8,0.8,15.0
PRG,1.0,1.0,1.0,15.0
REQUEST,0.6470588235294118,0.7333333333333333,0.6875,15.0
AFI,0.8571428571428571,0.8,0.8275862068965517,15.0
NEG,0.6923076923076923,0.6,0.6428571428571429,15.0
DES,0.7,0.4666666666666667,0.56,15.0
accuracy,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
macro avg,0.766168005663804,0.7619047619047619,0.7565315896473533,105.0
weighted avg,0.7661680056638038,0.7619047619047619,0.7565315896473532,105.0
