,precision,recall,f1-score,support
SAL,0.7222222222222222,0.8666666666666667,0.7878787878787878,15.0
EMO,0.7058823529411765,0.8,0.75,15.0
PRG,1.0,1.0,1.0,15.0
REQUEST,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.0
AFI,0.8333333333333334,0.6666666666666666,0.7407407407407407,15.0
NEG,1.0,0.8,0.8888888888888888,15.0
DES,0.625,0.6666666666666666,0.6451612903225806,15.0
accuracy,0.780952380952381,0.780952380952381,0.780952380952381,0.780952380952381
macro avg,0.7933006535947713,0.780952380952381,0.7827623392139522,105.0
weighted avg,0.7933006535947712,0.780952380952381,0.782762339213952,105.0
