,patron,n,intencion,df_cat,n_cat,cobertura_cat,df_resto,cobertura_resto,especificidad,log_odds
0,ma'pu'sin,1,SAL,9,71,0.1268,0,0.0,1.0,4.858
1,pante'chek,1,SAL,9,71,0.1268,0,0.0,1.0,4.858
2,inlli'ter,1,SAL,5,71,0.0704,0,0.0,1.0,4.249
3,awa,1,SAL,4,71,0.0563,0,0.0,1.0,4.034
4,muektu'kerker',1,SAL,4,71,0.0563,0,0.0,1.0,4.034
5,pa'echek,1,SAL,5,71,0.0704,1,0.0024,0.8333,3.148
6,musu',1,SAL,7,71,0.0986,15,0.0355,0.3182,1.12
7,enpu'ni,1,EMO,13,70,0.1857,0,0.0,1.0,5.295
8,enpu'nipa',1,EMO,5,70,0.0714,0,0.0,1.0,4.267
9,mushipa',1,EMO,5,70,0.0714,0,0.0,1.0,4.267
10,a'sakeklliu,1,EMO,5,70,0.0714,0,0.0,1.0,4.267
11,empu'ni,1,EMO,4,70,0.0571,0,0.0,1.0,4.051
12,musu',1,EMO,5,70,0.0714,17,0.0401,0.2273,0.671
13,a'cha,1,PRG,5,71,0.0704,0,0.0,1.0,4.249
14,ñapala,1,PRG,5,71,0.0704,0,0.0,1.0,4.249
15,kenma,1,PRG,4,71,0.0563,1,0.0024,0.8,2.933
16,yennitula,1,REQUEST,8,70,0.1143,1,0.0024,0.8889,3.648
17,ajá,1,AFI,21,71,0.2958,0,0.0,1.0,5.888
18,mupalli,1,AFI,6,71,0.0845,0,0.0,1.0,4.431
19,lachek'lek,1,AFI,5,71,0.0704,0,0.0,1.0,4.249
20,nu'su',1,AFI,5,71,0.0704,1,0.0024,0.8333,3.148
21,iñer',1,AFI,4,71,0.0563,1,0.0024,0.8,2.933
22,tekinchi,1,AFI,9,71,0.1268,3,0.0071,0.75,2.905
23,ipa',1,AFI,12,71,0.169,7,0.0165,0.6316,2.457
24,ñapalli,1,AFI,8,71,0.1127,5,0.0118,0.6154,2.321
25,musu',1,AFI,6,71,0.0845,16,0.0378,0.2727,0.896
26,ñiden,1,NEG,13,70,0.1857,0,0.0,1.0,5.295
27,ñinpi',1,NEG,8,70,0.1143,0,0.0,1.0,4.749
28,pawantulek,1,NEG,4,70,0.0571,0,0.0,1.0,4.051
29,ñi'ñi,1,NEG,4,70,0.0571,0,0.0,1.0,4.051
30,ku'la,1,NEG,4,70,0.0571,1,0.0024,0.8,2.95
31,nuka'ka,1,DES,6,71,0.0845,0,0.0,1.0,4.431
32,ñapawinek,1,DES,4,71,0.0563,0,0.0,1.0,4.034
33,asek,1,DES,4,71,0.0563,6,0.0142,0.4,1.454
