,patron,intencion,df_cat,n_cat,cobertura_cat,df_resto,cobertura_resto,especificidad,log_odds,frec_abs_cat
0,ma'pu'sin,SAL,9,71,0.1268,0,0.0,1.0,4.858,9
1,pante'chek,SAL,9,71,0.1268,0,0.0,1.0,4.858,9
2,inlli'ter,SAL,5,71,0.0704,0,0.0,1.0,4.249,5
3,awa,SAL,4,71,0.0563,0,0.0,1.0,4.034,4
4,muektu'kerker',SAL,4,71,0.0563,0,0.0,1.0,4.034,4
5,pa'echek,SAL,5,71,0.0704,1,0.0024,0.8333,3.148,5
6,musu',SAL,7,71,0.0986,15,0.0355,0.3182,1.12,7
7,enpu'ni,EMO,13,70,0.1857,0,0.0,1.0,5.295,13
8,enpu'nipa',EMO,5,70,0.0714,0,0.0,1.0,4.267,5
9,mushipa',EMO,5,70,0.0714,0,0.0,1.0,4.267,5
10,a'sakeklliu,EMO,5,70,0.0714,0,0.0,1.0,4.267,5
11,empu'ni,EMO,4,70,0.0571,0,0.0,1.0,4.051,4
12,musu',EMO,5,70,0.0714,17,0.0401,0.2273,0.671,5
13,a'cha,PRG,5,71,0.0704,0,0.0,1.0,4.249,5
14,ñapala,PRG,5,71,0.0704,0,0.0,1.0,4.249,5
15,kenma,PRG,4,71,0.0563,1,0.0024,0.8,2.933,4
16,yennitula,REQUEST,8,70,0.1143,1,0.0024,0.8889,3.648,8
17,ajá,AFI,21,71,0.2958,0,0.0,1.0,5.888,21
18,mupalli,AFI,6,71,0.0845,0,0.0,1.0,4.431,6
19,lachek'lek,AFI,5,71,0.0704,0,0.0,1.0,4.249,5
20,nu'su',AFI,5,71,0.0704,1,0.0024,0.8333,3.148,5
21,iñer',AFI,4,71,0.0563,1,0.0024,0.8,2.933,4
22,tekinchi,AFI,9,71,0.1268,3,0.0071,0.75,2.905,9
23,ipa',AFI,12,71,0.169,7,0.0165,0.6316,2.457,12
24,ñapalli,AFI,8,71,0.1127,5,0.0118,0.6154,2.321,8
25,musu',AFI,6,71,0.0845,16,0.0378,0.2727,0.896,6
26,ñiden,NEG,13,70,0.1857,0,0.0,1.0,5.295,13
27,ñinpi',NEG,8,70,0.1143,0,0.0,1.0,4.749,8
28,pawantulek,NEG,4,70,0.0571,0,0.0,1.0,4.051,4
29,ñi'ñi,NEG,4,70,0.0571,0,0.0,1.0,4.051,4
30,ku'la,NEG,4,70,0.0571,1,0.0024,0.8,2.95,4
31,nuka'ka,DES,6,71,0.0845,0,0.0,1.0,4.431,6
32,ñapawinek,DES,4,71,0.0563,0,0.0,1.0,4.034,4
33,asek,DES,4,71,0.0563,6,0.0142,0.4,1.454,4
