,patron,posicion,longitud,intencion,df_cat,n_cat,cobertura_cat,df_resto,cobertura_resto,especificidad,log_odds
0,'sin,final,4,SAL,9,71,0.1268,0,0.0,1.0,4.858
1,te'chek,final,6,SAL,9,71,0.1268,0,0.0,1.0,4.858
2,pu'sin,final,6,SAL,9,71,0.1268,0,0.0,1.0,4.858
3,u'sin,final,5,SAL,9,71,0.1268,0,0.0,1.0,4.858
4,sin,final,3,SAL,9,71,0.1268,0,0.0,1.0,4.858
5,wa,final,2,SAL,6,71,0.0845,0,0.0,1.0,4.431
6,ik,final,2,SAL,5,71,0.0704,0,0.0,1.0,4.249
7,lli'ter,final,6,SAL,5,71,0.0704,0,0.0,1.0,4.249
8,walek,final,5,SAL,5,71,0.0704,0,0.0,1.0,4.249
9,i'ter,final,5,SAL,5,71,0.0704,0,0.0,1.0,4.249
10,luk,final,3,SAL,4,71,0.0563,0,0.0,1.0,4.034
11,awa,final,3,SAL,4,71,0.0563,0,0.0,1.0,4.034
12,e'chek,final,5,SAL,9,71,0.1268,1,0.0024,0.9,3.757
13,'echek,final,5,SAL,5,71,0.0704,1,0.0024,0.8333,3.148
14,echek,final,4,SAL,5,71,0.0704,1,0.0024,0.8333,3.148
15,ni,final,2,EMO,19,70,0.2714,0,0.0,1.0,5.773
16,u'ni,final,4,EMO,18,70,0.2571,0,0.0,1.0,5.701
17,'ni,final,3,EMO,18,70,0.2571,0,0.0,1.0,5.701
18,pu'ni,final,5,EMO,17,70,0.2429,0,0.0,1.0,5.627
19,lliu,final,3,EMO,15,70,0.2143,0,0.0,1.0,5.469
20,npu'ni,final,6,EMO,13,70,0.1857,0,0.0,1.0,5.295
21,nipa',final,5,EMO,8,70,0.1143,0,0.0,1.0,4.749
22,'nipa',final,6,EMO,7,70,0.1,0,0.0,1.0,4.608
23,ulliu,final,4,EMO,6,70,0.0857,0,0.0,1.0,4.449
24,iu,final,2,EMO,15,70,0.2143,1,0.0024,0.9375,4.368
25,klliu,final,4,EMO,5,70,0.0714,0,0.0,1.0,4.267
26,shipa',final,5,EMO,5,70,0.0714,0,0.0,1.0,4.267
27,eklliu,final,5,EMO,5,70,0.0714,0,0.0,1.0,4.267
28,ushipa',final,6,EMO,5,70,0.0714,0,0.0,1.0,4.267
29,tulliu,final,5,EMO,5,70,0.0714,0,0.0,1.0,4.267
30,cha,final,2,PRG,12,71,0.169,0,0.0,1.0,5.181
31,'cha,final,3,PRG,12,71,0.169,0,0.0,1.0,5.181
32,a'cha,final,4,PRG,7,71,0.0986,0,0.0,1.0,4.59
33,pala,final,4,PRG,17,71,0.2394,1,0.0024,0.9444,4.505
34,ala,final,3,PRG,17,71,0.2394,1,0.0024,0.9444,4.505
35,ñapala,final,6,PRG,6,71,0.0845,0,0.0,1.0,4.431
36,apala,final,5,PRG,12,71,0.169,1,0.0024,0.9231,4.08
37,ama,final,3,PRG,4,71,0.0563,0,0.0,1.0,4.034
38,ma,final,2,PRG,9,71,0.1268,1,0.0024,0.9,3.757
39,tapala,final,6,PRG,6,71,0.0845,1,0.0024,0.8571,3.33
40,'ak,final,3,PRG,6,71,0.0845,1,0.0024,0.8571,3.33
41,kenma,final,5,PRG,4,71,0.0563,1,0.0024,0.8,2.933
42,enma,final,4,PRG,4,71,0.0563,1,0.0024,0.8,2.933
43,nma,final,3,PRG,4,71,0.0563,1,0.0024,0.8,2.933
44,'tula,final,5,PRG,4,71,0.0563,1,0.0024,0.8,2.933
45,'u,final,2,REQUEST,10,70,0.1429,0,0.0,1.0,4.993
46,a'u,final,3,REQUEST,7,70,0.1,0,0.0,1.0,4.608
47,tula'u,final,6,REQUEST,4,70,0.0571,0,0.0,1.0,4.051
48,ula'u,final,5,REQUEST,4,70,0.0571,0,0.0,1.0,4.051
49,la'u,final,4,REQUEST,4,70,0.0571,0,0.0,1.0,4.051
50,nitula,final,6,REQUEST,8,70,0.1143,1,0.0024,0.8889,3.648
51,mak,final,3,REQUEST,6,70,0.0857,1,0.0024,0.8571,3.348
52,a'mak,final,5,REQUEST,5,70,0.0714,1,0.0024,0.8333,3.166
53,'mak,final,4,REQUEST,5,70,0.0714,1,0.0024,0.8333,3.166
54,itula,final,5,REQUEST,8,70,0.1143,2,0.0047,0.8,3.135
55,'ku',final,4,REQUEST,5,70,0.0714,3,0.0071,0.625,2.314
56,ta,final,2,REQUEST,5,70,0.0714,3,0.0071,0.625,2.314
57,er',final,3,REQUEST,21,70,0.3,21,0.0495,0.5,2.098
58,r',final,2,REQUEST,21,70,0.3,21,0.0495,0.5,2.098
59,ker',final,4,REQUEST,11,70,0.1571,10,0.0236,0.5238,2.032
60,já,final,2,AFI,21,71,0.2958,0,0.0,1.0,5.888
