comparacion,diferencia_f1,ic95_bajo,ic95_alto,distinguible_de_cero
labse: mixup - sin_aumento,-0.025592844872192932,-0.0433788667907603,-0.008685953793907035,True
labse: retrotraduccion - sin_aumento,-0.035957771870753996,-0.0615861899154348,-0.010996238639103194,True
labse: generate_then_refine - sin_aumento,-0.01177592609358391,-0.031158271632304564,0.006883843057421814,False
mbert: mixup - sin_aumento,-0.00854491714278538,-0.026534396138370456,0.008895201389809686,False
mbert: retrotraduccion - sin_aumento,-0.036277625045502804,-0.06273019326985009,-0.010406699401606139,True
mbert: generate_then_refine - sin_aumento,0.004641679436932944,-0.012310561598249916,0.02286376132353667,False
xlmr: mixup - sin_aumento,-0.019481828865605566,-0.03486654640451747,-0.005102989149704207,True
xlmr: retrotraduccion - sin_aumento,-0.020034057618841694,-0.04487733420934413,0.004020191017347204,False
xlmr: generate_then_refine - sin_aumento,0.010224009718899363,-0.003591002977206764,0.024519183629580374,False
sin_aumento: xlmr - mbert,0.0006347645816298098,-0.03249093317434895,0.03365800957557791,False
sin_aumento: xlmr - labse,0.013238992408825867,-0.020387211112112405,0.046452542046351394,False
sin_aumento: mbert - labse,0.012604227827196057,-0.022528503576623993,0.045359066061561926,False
