modelo,tecnica,fraccion_train,n_train,f1_macro_media,f1_macro_sd,repeticiones
labse,sin_aumento,0.25,124,0.5594151819239838,0.04368508719955339,5
labse,mixup,0.25,124,0.567255459406422,0.042240837730802214,5
labse,sin_aumento,0.5,248,0.6251242540820503,0.03947564520901914,5
labse,mixup,0.5,248,0.6097065288691167,0.047336659638106675,5
labse,sin_aumento,0.75,373,0.6662559914262942,0.011706891439211772,5
labse,mixup,0.75,373,0.6730605935062834,0.009748585544268643,5
labse,sin_aumento,1.0,497,0.6943474825827767,0.0,1
labse,mixup,1.0,497,0.6631908503829687,0.0,1
mbert,sin_aumento,0.25,124,0.6204846722829207,0.03521979540621875,5
mbert,mixup,0.25,124,0.6079274911744965,0.022838013925821705,5
mbert,sin_aumento,0.5,248,0.6752767652249768,0.04836377642631637,5
mbert,mixup,0.5,248,0.6689975550019248,0.05619729644691373,5
mbert,sin_aumento,0.75,373,0.6754871733127688,0.02261743265787541,5
mbert,mixup,0.75,373,0.6829577347483474,0.022088133318244895,5
mbert,sin_aumento,1.0,497,0.69773046703993,0.0,1
mbert,mixup,1.0,497,0.6936535793678651,0.0,1
xlmr,sin_aumento,0.25,124,0.590641757146283,0.025819216932096135,5
xlmr,mixup,0.25,124,0.5947105694588202,0.0451378582253954,5
xlmr,sin_aumento,0.5,248,0.6939538889021658,0.015782029791930798,5
xlmr,mixup,0.5,248,0.6926031338479743,0.026184296536683103,5
xlmr,sin_aumento,0.75,373,0.7411525562557489,0.017705615685651276,5
xlmr,mixup,0.75,373,0.7297618798205334,0.012866291022912108,5
xlmr,sin_aumento,1.0,497,0.7223330241187383,0.0,1
xlmr,mixup,1.0,497,0.7373110355253213,0.0,1
