,precision,recall,f1-score,support
SAL,0.6875,0.8461538461538461,0.7586206896551724,13.0
EMO,0.6153846153846154,0.5714285714285714,0.5925925925925926,14.0
PRG,0.9333333333333333,1.0,0.9655172413793104,14.0
REQUEST,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.0
AFI,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
NEG,0.6470588235294118,0.6875,0.6666666666666666,16.0
DES,0.7272727272727273,0.5333333333333333,0.6153846153846154,15.0
accuracy,0.7070707070707071,0.7070707070707071,0.7070707070707071,0.7070707070707071
macro avg,0.7062689761219173,0.7102498691784405,0.7045878770016701,99.0
weighted avg,0.7058745794708361,0.7070707070707071,0.7027580054399978,99.0
