,precision,recall,f1-score,support
SAL,0.6190476190476191,0.8666666666666667,0.7222222222222222,15.0
EMO,0.75,0.8,0.7741935483870968,15.0
PRG,1.0,1.0,1.0,15.0
REQUEST,0.6875,0.7333333333333333,0.7096774193548387,15.0
AFI,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
NEG,0.9090909090909091,0.6666666666666666,0.7692307692307693,15.0
DES,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
accuracy,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715
macro avg,0.7863000095142951,0.7714285714285716,0.7719850553951936,105.0
weighted avg,0.7863000095142952,0.7714285714285715,0.7719850553951937,105.0
