real,prediccion
AFI,AFI
AFI,AFI
AFI,AFI
AFI,AFI
AFI,AFI
AFI,AFI
AFI,AFI
AFI,AFI
AFI,AFI
AFI,AFI
AFI,AFI
AFI,AFI
DES,DES
DES,DES
DES,DES
DES,DES
DES,DES
DES,REQUEST
DES,REQUEST
DES,REQUEST
DES,DES
DES,DES
DES,DES
DES,DES
DES,DES
DES,DES
DES,REQUEST
EMO,EMO
EMO,EMO
EMO,EMO
EMO,EMO
EMO,EMO
EMO,EMO
EMO,AFI
EMO,NEG
EMO,SAL
EMO,EMO
EMO,NEG
EMO,EMO
EMO,EMO
EMO,EMO
NEG,SAL
NEG,DES
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
NEG,EMO
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,EMO
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,AFI
REQUEST,DES
REQUEST,REQUEST
REQUEST,SAL
REQUEST,REQUEST
REQUEST,NEG
SAL,REQUEST
SAL,DES
SAL,SAL
SAL,SAL
SAL,SAL
SAL,SAL
SAL,EMO
SAL,EMO
SAL,SAL
SAL,AFI
SAL,AFI
SAL,AFI
SAL,SAL
