,precision,recall,f1-score,support
SAL,0.6666666666666666,0.46153846153846156,0.5454545454545454,13.0
EMO,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0
PRG,1.0,1.0,1.0,14.0
REQUEST,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.0
AFI,0.7058823529411765,1.0,0.8275862068965517,12.0
NEG,0.8125,0.8125,0.8125,16.0
DES,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
accuracy,0.7676767676767676,0.7676767676767676,0.7676767676767676,0.7676767676767676
macro avg,0.7645308123249299,0.7697605965463109,0.7607305461369501,99.0
weighted avg,0.7668986786633843,0.7676767676767676,0.7616288274595485,99.0
