real,prediccion
AFI,SAL
AFI,AFI
AFI,AFI
AFI,AFI
AFI,EMO
AFI,AFI
AFI,AFI
AFI,AFI
AFI,AFI
AFI,NEG
AFI,AFI
AFI,DES
DES,EMO
DES,EMO
DES,EMO
DES,EMO
DES,DES
DES,REQUEST
DES,REQUEST
DES,REQUEST
DES,DES
DES,DES
DES,DES
DES,DES
DES,DES
DES,DES
DES,REQUEST
EMO,EMO
EMO,EMO
EMO,NEG
EMO,NEG
EMO,AFI
EMO,EMO
EMO,AFI
EMO,AFI
EMO,AFI
EMO,SAL
EMO,NEG
EMO,EMO
EMO,EMO
EMO,EMO
NEG,REQUEST
NEG,DES
NEG,DES
NEG,REQUEST
NEG,NEG
NEG,NEG
NEG,NEG
NEG,SAL
NEG,EMO
NEG,NEG
NEG,NEG
NEG,AFI
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,EMO
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,DES
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,PRG
REQUEST,REQUEST
SAL,SAL
SAL,EMO
SAL,SAL
SAL,SAL
SAL,AFI
SAL,SAL
SAL,SAL
SAL,SAL
SAL,SAL
SAL,SAL
SAL,SAL
SAL,AFI
SAL,SAL
