,precision,recall,f1-score,support
SAL,0.6666666666666666,0.5333333333333333,0.5925925925925926,15.0
EMO,0.631578947368421,0.75,0.6857142857142857,16.0
PRG,0.8333333333333334,1.0,0.9090909090909091,15.0
REQUEST,0.5625,0.6,0.5806451612903226,15.0
AFI,0.7,0.5384615384615384,0.6086956521739131,13.0
NEG,0.75,0.8,0.7741935483870968,15.0
DES,0.6923076923076923,0.6,0.6428571428571429,15.0
accuracy,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923
macro avg,0.6909123770965877,0.6888278388278388,0.6848270417294662,104.0
weighted avg,0.6901671013702896,0.6923076923076923,0.6862996381053884,104.0
