,precision,recall,f1-score,support
SAL,0.8333333333333334,0.7692307692307693,0.8,13.0
EMO,0.625,0.35714285714285715,0.45454545454545453,14.0
PRG,1.0,1.0,1.0,14.0
REQUEST,0.6,0.8,0.6857142857142857,15.0
AFI,0.7777777777777778,0.5833333333333334,0.6666666666666666,12.0
NEG,0.5714285714285714,0.75,0.6486486486486487,16.0
DES,0.6,0.6,0.6,15.0
accuracy,0.696969696969697,0.696969696969697,0.696969696969697,0.696969696969697
macro avg,0.7153628117913832,0.6942438513867086,0.6936535793678651,99.0
weighted avg,0.7076719576719577,0.696969696969697,0.6911891820982731,99.0
