,precision,recall,f1-score,support
SAL,0.6153846153846154,0.5333333333333333,0.5714285714285714,15.0
EMO,0.7647058823529411,0.8125,0.7878787878787878,16.0
PRG,0.8823529411764706,1.0,0.9375,15.0
REQUEST,0.8,0.8,0.8,15.0
AFI,0.6428571428571429,0.6923076923076923,0.6666666666666666,13.0
NEG,0.9090909090909091,0.6666666666666666,0.7692307692307693,15.0
DES,0.7058823529411765,0.8,0.75,15.0
accuracy,0.7596153846153846,0.7596153846153846,0.7596153846153846,0.7596153846153846
macro avg,0.7600391205433221,0.7578296703296703,0.754672113600685,104.0
weighted avg,0.7623374928239183,0.7596153846153846,0.7566838209867056,104.0
