,precision,recall,f1-score,support
SAL,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
EMO,0.6923076923076923,0.5625,0.6206896551724138,16.0
PRG,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
REQUEST,0.6,0.8,0.6857142857142857,15.0
AFI,0.5555555555555556,0.38461538461538464,0.45454545454545453,13.0
NEG,0.7647058823529411,0.8666666666666667,0.8125,15.0
DES,0.5714285714285714,0.8,0.6666666666666666,15.0
accuracy,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923
macro avg,0.6993012589651245,0.6876831501831502,0.6795403898236411,104.0
weighted avg,0.701998353582064,0.6923076923076923,0.6833013430534982,104.0
