,precision,recall,f1-score,support
SAL,0.6666666666666666,0.4,0.5,15.0
EMO,0.7142857142857143,0.625,0.6666666666666666,16.0
PRG,1.0,0.9333333333333333,0.9655172413793104,15.0
REQUEST,0.625,0.6666666666666666,0.6451612903225806,15.0
AFI,0.8888888888888888,0.6153846153846154,0.7272727272727273,13.0
NEG,0.7647058823529411,0.8666666666666667,0.8125,15.0
DES,0.52,0.8666666666666667,0.65,15.0
accuracy,0.7115384615384616,0.7115384615384616,0.7115384615384616,0.7115384615384616
macro avg,0.7399353074563157,0.7105311355311356,0.7095882750916122,104.0
weighted avg,0.736824184802126,0.7115384615384616,0.7088354816994278,104.0
