,precision,recall,f1-score,support
SAL,0.75,0.46153846153846156,0.5714285714285714,13.0
EMO,0.5555555555555556,0.35714285714285715,0.43478260869565216,14.0
PRG,1.0,1.0,1.0,14.0
REQUEST,0.5454545454545454,0.8,0.6486486486486487,15.0
AFI,0.5,0.5833333333333334,0.5384615384615384,12.0
NEG,0.65,0.8125,0.7222222222222222,16.0
DES,0.75,0.6,0.6666666666666666,15.0
accuracy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
macro avg,0.6787157287157287,0.659216378859236,0.6546014651604714,99.0
weighted avg,0.680399959187838,0.6666666666666666,0.6592156737084274,99.0
