modelo,estrategia,silueta_coseno,davies_bouldin,calinski_harabasz
labse,cls,-0.021772461012005806,7.3137326533326545,6.374803066253662
labse,mean_pooling,-0.02658270113170147,7.137900794348296,6.642626762390137
labse,max_pooling,-0.036638036370277405,7.273904711460598,6.204343318939209
labse,combinacion_capas,-0.020176755264401436,7.068423913667202,6.73081111907959
mbert,cls,-0.008645745925605297,6.7842583224052095,7.359952926635742
mbert,mean_pooling,-0.009864740073680878,6.617788808305771,7.084503650665283
mbert,max_pooling,-0.00790040660649538,6.880784469208669,6.627640247344971
mbert,combinacion_capas,-0.005411496851593256,6.618020709210144,7.580301761627197
xlmr,cls,-0.10967118293046951,7.12967765914464,10.266521453857422
xlmr,mean_pooling,-0.0368359312415123,7.448761425325746,9.551752090454102
xlmr,max_pooling,-0.03498180955648422,7.660385645044472,8.119050979614258
xlmr,combinacion_capas,-0.03640613704919815,7.160165199290746,8.971070289611816
